Frequency,Log Magnitude,Phase
800000000.0,-10.76161892,86.52193966
801000000.0,-10.72269686,85.14644985
802000000.0,-10.69731259,83.7282466
803000000.0,-10.68523426,82.33622485
804000000.0,-10.67404853,80.97088478
805000000.0,-10.66251714,79.61356404
806000000.0,-10.64969061,78.2544241
807000000.0,-10.635945,76.85921025
808000000.0,-10.6230505,75.45364927
809000000.0,-10.61039308,74.01226727
810000000.0,-10.60078375,72.52848909
811000000.0,-10.59960235,71.02760527
812000000.0,-10.6054277,69.55277869
813000000.0,-10.608445,68.09310693
814000000.0,-10.61126749,66.61518152
815000000.0,-10.61236838,65.09284978
816000000.0,-10.62470149,63.54711463
817000000.0,-10.64860138,62.02619872
818000000.0,-10.67573161,60.56736998
819000000.0,-10.69893256,59.18845979
820000000.0,-10.70876121,57.84021866
821000000.0,-10.70980304,56.43613103
822000000.0,-10.70365297,54.96511336
823000000.0,-10.69737572,53.38234146
824000000.0,-10.70482576,51.7198681
825000000.0,-10.7267717,50.06572153
826000000.0,-10.75784032,48.42318626
827000000.0,-10.79020596,46.81666321
828000000.0,-10.82297479,45.19561346
829000000.0,-10.86263792,43.5426419
830000000.0,-10.91447732,41.89689153
831000000.0,-10.9749675,40.27402846
832000000.0,-11.04374901,38.70619922
833000000.0,-11.11512993,37.21639922
834000000.0,-11.18473433,35.75246771
835000000.0,-11.25864102,34.31411807
836000000.0,-11.33839426,32.90602291
837000000.0,-11.42038712,31.59178869
838000000.0,-11.49866588,30.35707717
839000000.0,-11.56821144,29.20884535
840000000.0,-11.62590836,28.08345536
841000000.0,-11.67042709,26.9796393
842000000.0,-11.7033758,25.80318602
843000000.0,-11.73374769,24.5721095
844000000.0,-11.76944314,23.31867659
845000000.0,-11.80755341,22.07046315
846000000.0,-11.83843712,20.85537334
847000000.0,-11.86372024,19.60235661
848000000.0,-11.88566639,18.25593565
849000000.0,-11.91514534,16.8600368
850000000.0,-11.95939986,15.43347791
851000000.0,-12.01789651,14.01816565
852000000.0,-12.08713978,12.68298477
853000000.0,-12.16105398,11.48848734
854000000.0,-12.22393438,10.4014312
855000000.0,-12.26827608,9.379187094
856000000.0,-12.29653087,8.298724189
857000000.0,-12.32179574,7.115681385
858000000.0,-12.35706141,5.892830968
859000000.0,-12.40329651,4.679059365
860000000.0,-12.45474902,3.545577421
861000000.0,-12.50493773,2.364252637
862000000.0,-12.52975232,1.359472822
863000000.0,-12.59309835,0.4054875383
864000000.0,-12.61484316,-0.3125553009
865000000.0,-12.63678935,-1.248557984
866000000.0,-12.63574809,-1.983695665
867000000.0,-12.63569112,-2.819471846
868000000.0,-12.56117237,-3.631967604
869000000.0,-12.50003143,-4.533817577
870000000.0,-12.42865069,-5.552679252
871000000.0,-12.33119521,-6.880799273
872000000.0,-12.22597096,-8.258409545
873000000.0,-12.12902448,-9.83311246
874000000.0,-12.08562366,-11.72931882
875000000.0,-12.09662985,-13.6004229
876000000.0,-12.10130316,-15.29354126
877000000.0,-12.06468633,-16.90897391
878000000.0,-12.09849485,-18.69195308
879000000.0,-12.1139417,-20.52785608
880000000.0,-12.13619619,-21.9280078
881000000.0,-12.18125308,-23.52918585
882000000.0,-12.20165236,-24.87921714
883000000.0,-12.2191493,-26.33057712
884000000.0,-12.22592001,-27.53130952
885000000.0,-12.22950408,-28.86957452
886000000.0,-12.19420899,-30.27730444
887000000.0,-12.18947233,-31.70635711
888000000.0,-12.16352617,-33.38612251
889000000.0,-12.152837,-34.75024103
890000000.0,-12.13787067,-36.5393214
891000000.0,-12.13053912,-38.04441419
892000000.0,-12.06538884,-39.93399111
893000000.0,-12.05939138,-41.84642164
894000000.0,-12.05888094,-43.91241971
895000000.0,-12.08779456,-46.04148037
896000000.0,-12.14671494,-48.12520718
897000000.0,-12.22853421,-50.14883331
898000000.0,-12.32770796,-52.05660012
899000000.0,-12.44528919,-53.8728692
900000000.0,-12.58002962,-55.51671575
901000000.0,-12.72038629,-56.94489604
902000000.0,-12.85266928,-58.1327138
903000000.0,-12.96188528,-59.15385908
904000000.0,-13.04782753,-60.09217456
905000000.0,-13.11161685,-60.97066552
906000000.0,-13.14877241,-61.82913917
907000000.0,-13.16193636,-62.74197837
908000000.0,-13.15797784,-63.75908754
909000000.0,-13.1460159,-64.89285962
910000000.0,-13.12538246,-66.10376638
911000000.0,-13.10563518,-67.39464296
912000000.0,-13.08301059,-68.79950563
913000000.0,-13.06277418,-70.3057516
914000000.0,-13.04772399,-71.93189789
915000000.0,-13.05447449,-73.66240048
916000000.0,-13.08611095,-75.44942953
917000000.0,-13.14033577,-77.17796512
918000000.0,-13.21740567,-78.78310501
919000000.0,-13.29839963,-80.25163554
920000000.0,-13.37916314,-81.6250811
921000000.0,-13.45956868,-82.91809707
922000000.0,-13.53799155,-84.13302474
923000000.0,-13.6129353,-85.2809999
924000000.0,-13.68287573,-86.31517517
925000000.0,-13.7504999,-87.29404791
926000000.0,-13.80432413,-88.13913933
927000000.0,-13.83324765,-88.92141673
928000000.0,-13.84001233,-89.69824114
929000000.0,-13.82039281,-90.53346423
930000000.0,-13.78663054,-91.50315103
931000000.0,-13.74625121,-92.6065123
932000000.0,-13.71186756,-93.83227688
933000000.0,-13.68669714,-95.12429104
934000000.0,-13.67983903,-96.43130484
935000000.0,-13.68530053,-97.66600487
936000000.0,-13.68654365,-98.79045223
937000000.0,-13.67277738,-99.84932632
938000000.0,-13.63927372,-100.9058144
939000000.0,-13.58984259,-102.0425483
940000000.0,-13.53279624,-103.287871
941000000.0,-13.47368673,-104.6569397
942000000.0,-13.4253335,-106.1218306
943000000.0,-13.38452401,-107.6136909
944000000.0,-13.35348573,-109.129667
945000000.0,-13.32170264,-110.6652045
946000000.0,-13.29937276,-112.2406339
947000000.0,-13.28609102,-113.8279327
948000000.0,-13.27602022,-115.3987839
949000000.0,-13.2709294,-116.9608174
950000000.0,-13.27131864,-118.499514
951000000.0,-13.27256479,-120.0364471
952000000.0,-13.27675221,-121.5343954
953000000.0,-13.27676581,-123.0326654
954000000.0,-13.27610277,-124.559645
955000000.0,-13.28135403,-126.1265104
956000000.0,-13.29951166,-127.6779744
957000000.0,-13.32618663,-129.177901
958000000.0,-13.35219094,-130.5982012
959000000.0,-13.37177823,-131.9457281
960000000.0,-13.38122085,-133.2845032
961000000.0,-13.38491142,-134.6713583
962000000.0,-13.38577925,-136.0909269
963000000.0,-13.39160156,-137.5280528
964000000.0,-13.39437345,-138.985391
965000000.0,-13.40400922,-140.4844405
966000000.0,-13.41930727,-142.0077717
967000000.0,-13.44857752,-143.5331664
968000000.0,-13.48626257,-145.0067337
969000000.0,-13.52667977,-146.3877207
970000000.0,-13.56397758,-147.7046551
971000000.0,-13.59531042,-148.9975443
972000000.0,-13.62639187,-150.2884624
973000000.0,-13.65918361,-151.552828
974000000.0,-13.69309737,-152.8027851
975000000.0,-13.72830189,-153.9995141
976000000.0,-13.76013027,-155.1374383
977000000.0,-13.78357588,-156.1831055
978000000.0,-13.79395636,-157.2213868
979000000.0,-13.79041258,-158.2314495
980000000.0,-13.77718486,-159.3021962
981000000.0,-13.75079923,-160.4006124
982000000.0,-13.7145081,-161.5966665
983000000.0,-13.68239795,-162.8955254
984000000.0,-13.64862274,-164.2649577
985000000.0,-13.62491726,-165.6999616
986000000.0,-13.61275151,-167.192954
987000000.0,-13.61220618,-168.7040603
988000000.0,-13.6245189,-170.2284032
989000000.0,-13.65325234,-171.6983564
990000000.0,-13.69199112,-173.0707728
991000000.0,-13.73585882,-174.3105288
992000000.0,-13.77194299,-175.4330877
993000000.0,-13.79196418,-176.4832296
994000000.0,-13.79779044,-177.5480379
995000000.0,-13.79094125,-178.6203823
996000000.0,-13.77503262,-179.7203945
997000000.0,-13.75445312,179.1270894
998000000.0,-13.73074331,177.9287654
999000000.0,-13.70680669,176.6741201
1000000000.0,-13.68608866,175.370349
1001000000.0,-13.66896862,174.0551893
1002000000.0,-13.65163972,172.7604896
1003000000.0,-13.63465301,171.4391337
1004000000.0,-13.61223492,170.1054437
1005000000.0,-13.58737096,168.7050864
1006000000.0,-13.57022016,167.2252915
1007000000.0,-13.56560478,165.6920954
1008000000.0,-13.57545003,164.1350866
1009000000.0,-13.60107003,162.6305378
1010000000.0,-13.63790013,161.2015049
1011000000.0,-13.67844344,159.9004381
1012000000.0,-13.71206163,158.6628421
1013000000.0,-13.74019493,157.4832821
1014000000.0,-13.76637235,156.3604481
1015000000.0,-13.7832537,155.2516446
1016000000.0,-13.79036912,154.1831473
1017000000.0,-13.78350554,153.1204759
1018000000.0,-13.76640758,151.9648204
1019000000.0,-13.74908126,150.7570822
1020000000.0,-13.73441662,149.4794888
1021000000.0,-13.72606311,148.1838746
1022000000.0,-13.72866187,146.8875469
1023000000.0,-13.73543548,145.6224302
1024000000.0,-13.74006497,144.4142883
1025000000.0,-13.74429823,143.2303294
1026000000.0,-13.73814978,142.0559744
1027000000.0,-13.73364218,140.8611924
1028000000.0,-13.72629687,139.6833445
